Time	Channel A	Channel B
(s)	(V)	(V)

-0.06960143	4.83944400	0.69881890
-0.06946810	4.83944400	0.69881890
-0.06933476	4.83944400	0.69881890
-0.06920143	4.83944400	0.78617130
-0.06906809	4.83944400	0.78617130
-0.06893475	4.83944400	0.78617130
-0.06880142	4.83944400	0.87352360
-0.06866808	4.83944400	0.78617130
-0.06853475	4.83944400	0.78617130
-0.06840141	4.83944400	0.78617130
-0.06826807	4.83944400	0.87352360
-0.06813474	4.83944400	0.78617130
-0.06800140	4.83944400	0.78617130
-0.06786807	4.83944400	0.69881890
-0.06773473	4.83944400	0.69881890
-0.06760139	4.83944400	0.69881890
-0.06746806	4.83944400	0.61146650
-0.06733472	4.83944400	0.61146650
-0.06720139	4.83944400	0.61146650
-0.06706805	4.83944400	0.61146650
-0.06693471	4.83944400	0.52411420
-0.06680138	4.83944400	0.61146650
-0.06666804	4.83944400	0.61146650
-0.06653471	4.83944400	0.61146650
-0.06640137	4.83944400	0.61146650
-0.06626803	4.83944400	0.61146650
-0.06613470	4.83944400	0.61146650
-0.06600136	4.83944400	0.69881890
-0.06586803	4.83944400	0.69881890
-0.06573469	4.83944400	0.69881890
-0.06560135	4.83944400	0.78617130
-0.06546802	4.83944400	0.69881890
-0.06533468	4.83944400	0.78617130
-0.06520135	4.83944400	0.69881890
-0.06506801	4.83944400	0.69881890
-0.06493467	4.83944400	0.69881890
-0.06480134	4.83944400	0.69881890
-0.06466800	4.83944400	0.69881890
-0.06453467	4.83944400	0.61146650
-0.06440133	4.83944400	0.61146650
-0.06426799	4.83944400	0.61146650
-0.06413466	4.83944400	0.61146650
-0.06400132	4.75147600	0.61146650
-0.06386799	4.83944400	0.52411420
-0.06373465	4.83944400	0.52411420
-0.06360131	4.83944400	0.52411420
-0.06346798	4.83944400	0.61146650
-0.06333464	4.83944400	0.61146650
-0.06320131	4.83944400	0.69881890
-0.06306797	4.83944400	0.69881890
-0.06293463	4.83944400	0.69881890
-0.06280130	4.83944400	0.69881890
-0.06266796	4.83944400	0.78617130
-0.06253463	4.83944400	0.78617130
-0.06240129	4.83944400	0.78617130
-0.06226795	4.83944400	0.78617130
-0.06213462	4.83944400	0.78617130
-0.06200128	4.83944400	0.78617130
-0.06186795	4.83944400	0.78617130
-0.06173461	4.83944400	0.78617130
-0.06160127	4.83944400	0.69881890
-0.06146794	4.75147600	0.69881890
-0.06133460	4.83944400	0.61146650
-0.06120127	4.83944400	0.61146650
-0.06106793	4.83944400	0.61146650
-0.06093459	4.83944400	0.61146650
-0.06080126	4.83944400	0.61146650
-0.06066792	4.83944400	0.52411420
-0.06053459	4.83944400	0.52411420
-0.06040125	4.83944400	0.52411420
-0.06026791	4.83944400	0.61146650
-0.06013458	4.83944400	0.61146650
-0.06000124	4.83944400	0.61146650
-0.05986791	4.83944400	0.61146650
-0.05973457	4.83944400	0.69881890
-0.05960123	4.83944400	0.69881890
-0.05946790	4.83944400	0.69881890
-0.05933456	4.83944400	0.69881890
-0.05920123	4.83944400	0.69881890
-0.05906789	4.83944400	0.69881890
-0.05893455	4.83944400	0.69881890
-0.05880122	4.83944400	0.69881890
-0.05866788	4.83944400	0.61146650
-0.05853455	4.83944400	0.61146650
-0.05840121	4.83944400	0.61146650
-0.05826787	4.83944400	0.61146650
-0.05813454	4.83944400	0.61146650
-0.05800120	4.83944400	0.52411420
-0.05786787	4.83944400	0.52411420
-0.05773453	4.83944400	0.52411420
-0.05760119	4.83944400	0.52411420
-0.05746786	4.83944400	0.52411420
-0.05733452	4.83944400	0.43676180
-0.05720119	4.83944400	0.52411420
-0.05706785	4.83944400	0.52411420
-0.05693451	4.83944400	0.52411420
-0.05680118	4.83944400	0.52411420
-0.05666784	4.83944400	0.52411420
-0.05653451	4.83944400	0.61146650
-0.05640117	4.83944400	0.61146650
-0.05626783	4.83944400	0.61146650
-0.05613450	4.83944400	0.61146650
-0.05600116	4.83944400	0.61146650
-0.05586783	4.83944400	0.61146650
-0.05573449	4.83944400	0.61146650
-0.05560115	4.83944400	0.61146650
-0.05546782	4.83944400	0.61146650
-0.05533448	4.83944400	0.61146650
-0.05520115	4.83944400	0.61146650
-0.05506781	4.83944400	0.61146650
-0.05493447	4.83944400	0.61146650
-0.05480114	4.83944400	0.61146650
-0.05466780	4.83944400	0.52411420
-0.05453447	4.83944400	0.61146650
-0.05440113	4.83944400	0.52411420
-0.05426779	4.83944400	0.61146650
-0.05413446	4.83944400	0.52411420
-0.05400112	4.83944400	0.61146650
-0.05386779	4.83944400	0.52411420
-0.05373445	4.83944400	0.61146650
-0.05360111	4.83944400	0.61146650
-0.05346778	4.83944400	0.61146650
-0.05333444	4.83944400	0.61146650
-0.05320111	4.83944400	0.61146650
-0.05306777	4.83944400	0.61146650
-0.05293443	4.83944400	0.61146650
-0.05280110	4.83944400	0.61146650
-0.05266776	4.83944400	0.61146650
-0.05253443	4.83944400	0.61146650
-0.05240109	4.83944400	0.61146650
-0.05226775	4.83944400	0.52411420
-0.05213442	4.83944400	0.52411420
-0.05200108	4.83944400	0.52411420
-0.05186775	4.83944400	0.52411420
-0.05173441	4.83944400	0.52411420
-0.05160107	4.83944400	0.52411420
-0.05146774	4.83944400	0.52411420
-0.05133440	4.83944400	0.52411420
-0.05120107	4.83944400	0.52411420
-0.05106773	4.83944400	0.52411420
-0.05093439	4.83944400	0.52411420
-0.05080106	4.83944400	0.52411420
-0.05066772	4.83944400	0.52411420
-0.05053439	4.83944400	0.52411420
-0.05040105	4.83944400	0.52411420
-0.05026771	4.83944400	0.52411420
-0.05013438	4.83944400	0.52411420
-0.05000104	4.92741200	0.52411420
-0.04986771	4.83944400	0.52411420
-0.04973437	4.83944400	0.52411420
-0.04960103	4.83944400	0.61146650
-0.04946770	4.83944400	0.52411420
-0.04933436	4.83944400	0.52411420
-0.04920103	4.83944400	0.52411420
-0.04906769	4.83944400	0.52411420
-0.04893435	4.83944400	0.52411420
-0.04880102	4.83944400	0.52411420
-0.04866768	4.83944400	0.52411420
-0.04853435	4.83944400	0.52411420
-0.04840101	4.83944400	0.52411420
-0.04826767	4.83944400	0.61146650
-0.04813434	4.83944400	0.52411420
-0.04800100	4.83944400	0.52411420
-0.04786767	4.83944400	0.61146650
-0.04773433	4.83944400	0.61146650
-0.04760099	4.83944400	0.61146650
-0.04746766	4.83944400	0.52411420
-0.04733432	4.83944400	0.61146650
-0.04720099	4.83944400	0.61146650
-0.04706765	4.83944400	0.61146650
-0.04693431	4.83944400	0.61146650
-0.04680098	4.83944400	0.61146650
-0.04666764	4.83944400	0.61146650
-0.04653431	4.83944400	0.61146650
-0.04640097	4.83944400	0.61146650
-0.04626763	4.83944400	0.61146650
-0.04613430	4.83944400	0.61146650
-0.04600096	4.83944400	0.61146650
-0.04586763	4.83944400	0.52411420
-0.04573429	4.83944400	0.52411420
